date,series_id,spent_value_0d_1d_btc,spent_value_1d_1w_btc,spent_value_1w_1m_btc,spent_value_1m_3m_btc,spent_value_3m_6m_btc,spent_value_6m_1y_btc,spent_value_1y_2y_btc,spent_value_2y_3y_btc,spent_value_3y_5y_btc,spent_value_5y_7y_btc,spent_value_7y_10y_btc,spent_value_10y_plus_btc,unit,frequency,release_version
2009-02-07,obm_spent_value_age_band_btc_daily,48.00000000,300.00000000,850.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-08,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,1000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-09,obm_spent_value_age_band_btc_daily,0.00000000,1250.00000000,950.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-10,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-11,obm_spent_value_age_band_btc_daily,150.00000000,400.00000000,0.04000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-12,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-13,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-14,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-15,obm_spent_value_age_band_btc_daily,350.00000000,250.00000000,300.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-16,obm_spent_value_age_band_btc_daily,0.00000000,1350.00000000,150.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-17,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-18,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-19,obm_spent_value_age_band_btc_daily,0.00000000,750.00000000,50.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-20,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-02-21,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
